city_slug	node_id	node_type	reason
eastman	signal-eastman-code-urbanisme-refonte-2026	Signal	Baseline node has no verifiable source link; exclude until source-backed re-extraction.
saint-gabriel	signal-saint-gabriel-modif-zonage-CV621-2026	Signal	Baseline node has no verifiable source link; exclude until source-backed re-extraction.
