code géographique,nom du territoire,lien
70022,Beauharnois,https://donneesouvertes.affmunqc.net/role/RL70022_2026.xml
70030,Saint-Étienne-de-Beauharnois,https://donneesouvertes.affmunqc.net/role/RL70030_2026.xml
70052,Salaberry-de-Valleyfield,https://donneesouvertes.affmunqc.net/role/RL70052_2026.xml
