scene,moteur,passe,rang,score,texte_min_1440x900_px,detail_1440x900_px,texte_min_1920x1080_px,texte_min_A4_pt,remplissage_blocs,remplissage_cartes,rapport_cadre,coudes,portes_geometriques,reglages
sequence-bout-en-bout,elk,1,,0.446,5.35,5.83,6.68,3.97,0.725,0.387,0.626,6,"rapport 0.626 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=NETWORK_SIMPLEX layerGap=30 nodeGap=24 placement=NETWORK_SIMPLEX rootPadding=12"
sequence-bout-en-bout,elk,1,,0.444,5.33,5.81,6.65,3.96,0.723,0.386,0.624,6,"rapport 0.624 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=NETWORK_SIMPLEX layerGap=30 nodeGap=24 placement=BRANDES_KOEPF rootPadding=12"
sequence-bout-en-bout,elk,1,,0.441,5.29,5.77,6.60,3.93,0.717,0.383,0.619,10,"rapport 0.619 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=NETWORK_SIMPLEX layerGap=30 nodeGap=24 placement=LINEAR_SEGMENTS rootPadding=12"
sequence-bout-en-bout,elk,1,,0.446,5.35,5.83,6.68,3.97,0.706,0.377,0.644,6,"rapport 0.644 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=NETWORK_SIMPLEX layerGap=30 nodeGap=48 placement=NETWORK_SIMPLEX rootPadding=12"
sequence-bout-en-bout,elk,1,,0.444,5.33,5.81,6.65,3.96,0.703,0.375,0.641,6,"rapport 0.641 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=NETWORK_SIMPLEX layerGap=30 nodeGap=48 placement=BRANDES_KOEPF rootPadding=12"
sequence-bout-en-bout,elk,1,,0.441,5.29,5.77,6.60,3.93,0.698,0.373,0.637,10,"rapport 0.637 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=NETWORK_SIMPLEX layerGap=30 nodeGap=48 placement=LINEAR_SEGMENTS rootPadding=12"
sequence-bout-en-bout,elk,1,,0.441,5.29,5.77,6.60,3.93,0.717,0.383,0.619,6,"rapport 0.619 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=NETWORK_SIMPLEX layerGap=60 nodeGap=24 placement=NETWORK_SIMPLEX rootPadding=12"
sequence-bout-en-bout,elk,1,,0.439,5.27,5.75,6.58,3.91,0.715,0.382,0.617,6,"rapport 0.617 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=NETWORK_SIMPLEX layerGap=60 nodeGap=24 placement=BRANDES_KOEPF rootPadding=12"
sequence-bout-en-bout,elk,1,,0.441,5.29,5.77,6.60,3.93,0.717,0.383,0.619,10,"rapport 0.619 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=NETWORK_SIMPLEX layerGap=60 nodeGap=24 placement=LINEAR_SEGMENTS rootPadding=12"
sequence-bout-en-bout,elk,1,,0.441,5.29,5.77,6.60,3.93,0.698,0.373,0.637,6,"rapport 0.637 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=NETWORK_SIMPLEX layerGap=60 nodeGap=48 placement=NETWORK_SIMPLEX rootPadding=12"
sequence-bout-en-bout,elk,1,,0.439,5.27,5.75,6.58,3.91,0.696,0.371,0.634,6,"rapport 0.634 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=NETWORK_SIMPLEX layerGap=60 nodeGap=48 placement=BRANDES_KOEPF rootPadding=12"
sequence-bout-en-bout,elk,1,,0.441,5.29,5.77,6.60,3.93,0.698,0.373,0.637,10,"rapport 0.637 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=NETWORK_SIMPLEX layerGap=60 nodeGap=48 placement=LINEAR_SEGMENTS rootPadding=12"
sequence-bout-en-bout,elk,1,,0.423,5.07,5.53,6.33,3.77,0.688,0.367,0.593,6,"rapport 0.593 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=NETWORK_SIMPLEX layerGap=120 nodeGap=24 placement=NETWORK_SIMPLEX rootPadding=12"
sequence-bout-en-bout,elk,1,,0.423,5.07,5.53,6.33,3.77,0.688,0.367,0.593,6,"rapport 0.593 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=NETWORK_SIMPLEX layerGap=120 nodeGap=24 placement=BRANDES_KOEPF rootPadding=12"
sequence-bout-en-bout,elk,1,,0.423,5.07,5.53,6.33,3.77,0.688,0.367,0.593,10,"rapport 0.593 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=NETWORK_SIMPLEX layerGap=120 nodeGap=24 placement=LINEAR_SEGMENTS rootPadding=12"
sequence-bout-en-bout,elk,1,,0.423,5.07,5.53,6.33,3.77,0.669,0.357,0.610,6,"rapport 0.610 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=NETWORK_SIMPLEX layerGap=120 nodeGap=48 placement=NETWORK_SIMPLEX rootPadding=12"
sequence-bout-en-bout,elk,1,,0.423,5.07,5.53,6.33,3.77,0.669,0.357,0.610,6,"rapport 0.610 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=NETWORK_SIMPLEX layerGap=120 nodeGap=48 placement=BRANDES_KOEPF rootPadding=12"
sequence-bout-en-bout,elk,1,,0.423,5.07,5.53,6.33,3.77,0.669,0.357,0.610,10,"rapport 0.610 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=NETWORK_SIMPLEX layerGap=120 nodeGap=48 placement=LINEAR_SEGMENTS rootPadding=12"
sequence-bout-en-bout,elk,1,,0.395,4.74,5.17,5.92,3.52,0.643,0.344,0.555,6,"rapport 0.555 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=NETWORK_SIMPLEX layerGap=220 nodeGap=24 placement=NETWORK_SIMPLEX rootPadding=12"
sequence-bout-en-bout,elk,1,,0.395,4.74,5.17,5.92,3.52,0.643,0.344,0.555,6,"rapport 0.555 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=NETWORK_SIMPLEX layerGap=220 nodeGap=24 placement=BRANDES_KOEPF rootPadding=12"
sequence-bout-en-bout,elk,1,,0.395,4.74,5.17,5.92,3.52,0.643,0.344,0.555,10,"rapport 0.555 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=NETWORK_SIMPLEX layerGap=220 nodeGap=24 placement=LINEAR_SEGMENTS rootPadding=12"
sequence-bout-en-bout,elk,1,,0.395,4.74,5.17,5.92,3.52,0.626,0.334,0.570,6,"rapport 0.570 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=NETWORK_SIMPLEX layerGap=220 nodeGap=48 placement=NETWORK_SIMPLEX rootPadding=12"
sequence-bout-en-bout,elk,1,,0.395,4.74,5.17,5.92,3.52,0.626,0.334,0.570,6,"rapport 0.570 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=NETWORK_SIMPLEX layerGap=220 nodeGap=48 placement=BRANDES_KOEPF rootPadding=12"
sequence-bout-en-bout,elk,1,,0.395,4.74,5.17,5.92,3.52,0.626,0.334,0.570,10,"rapport 0.570 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=NETWORK_SIMPLEX layerGap=220 nodeGap=48 placement=LINEAR_SEGMENTS rootPadding=12"
sequence-bout-en-bout,elk,1,,0.446,5.35,5.83,6.68,3.97,0.725,0.387,0.626,6,"rapport 0.626 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=COFFMAN_GRAHAM layerGap=30 nodeGap=24 placement=NETWORK_SIMPLEX rootPadding=12 layerBound=3"
sequence-bout-en-bout,elk,1,,0.444,5.33,5.81,6.65,3.96,0.723,0.386,0.624,6,"rapport 0.624 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=COFFMAN_GRAHAM layerGap=30 nodeGap=24 placement=BRANDES_KOEPF rootPadding=12 layerBound=3"
sequence-bout-en-bout,elk,1,,0.441,5.29,5.77,6.60,3.93,0.717,0.383,0.619,10,"rapport 0.619 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=COFFMAN_GRAHAM layerGap=30 nodeGap=24 placement=LINEAR_SEGMENTS rootPadding=12 layerBound=3"
sequence-bout-en-bout,elk,1,,0.446,5.35,5.83,6.68,3.97,0.706,0.377,0.644,6,"rapport 0.644 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=COFFMAN_GRAHAM layerGap=30 nodeGap=48 placement=NETWORK_SIMPLEX rootPadding=12 layerBound=3"
sequence-bout-en-bout,elk,1,,0.444,5.33,5.81,6.65,3.96,0.703,0.375,0.641,6,"rapport 0.641 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=COFFMAN_GRAHAM layerGap=30 nodeGap=48 placement=BRANDES_KOEPF rootPadding=12 layerBound=3"
sequence-bout-en-bout,elk,1,,0.441,5.29,5.77,6.60,3.93,0.698,0.373,0.637,10,"rapport 0.637 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=COFFMAN_GRAHAM layerGap=30 nodeGap=48 placement=LINEAR_SEGMENTS rootPadding=12 layerBound=3"
sequence-bout-en-bout,elk,1,,0.441,5.29,5.77,6.60,3.93,0.717,0.383,0.619,6,"rapport 0.619 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=COFFMAN_GRAHAM layerGap=60 nodeGap=24 placement=NETWORK_SIMPLEX rootPadding=12 layerBound=3"
sequence-bout-en-bout,elk,1,,0.439,5.27,5.75,6.58,3.91,0.715,0.382,0.617,6,"rapport 0.617 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=COFFMAN_GRAHAM layerGap=60 nodeGap=24 placement=BRANDES_KOEPF rootPadding=12 layerBound=3"
sequence-bout-en-bout,elk,1,,0.441,5.29,5.77,6.60,3.93,0.717,0.383,0.619,10,"rapport 0.619 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=COFFMAN_GRAHAM layerGap=60 nodeGap=24 placement=LINEAR_SEGMENTS rootPadding=12 layerBound=3"
sequence-bout-en-bout,elk,1,,0.441,5.29,5.77,6.60,3.93,0.698,0.373,0.637,6,"rapport 0.637 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=COFFMAN_GRAHAM layerGap=60 nodeGap=48 placement=NETWORK_SIMPLEX rootPadding=12 layerBound=3"
sequence-bout-en-bout,elk,1,,0.439,5.27,5.75,6.58,3.91,0.696,0.371,0.634,6,"rapport 0.634 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=COFFMAN_GRAHAM layerGap=60 nodeGap=48 placement=BRANDES_KOEPF rootPadding=12 layerBound=3"
sequence-bout-en-bout,elk,1,,0.441,5.29,5.77,6.60,3.93,0.698,0.373,0.637,10,"rapport 0.637 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=COFFMAN_GRAHAM layerGap=60 nodeGap=48 placement=LINEAR_SEGMENTS rootPadding=12 layerBound=3"
sequence-bout-en-bout,elk,1,,0.423,5.07,5.53,6.33,3.77,0.688,0.367,0.593,6,"rapport 0.593 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=COFFMAN_GRAHAM layerGap=120 nodeGap=24 placement=NETWORK_SIMPLEX rootPadding=12 layerBound=3"
sequence-bout-en-bout,elk,1,,0.423,5.07,5.53,6.33,3.77,0.688,0.367,0.593,6,"rapport 0.593 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=COFFMAN_GRAHAM layerGap=120 nodeGap=24 placement=BRANDES_KOEPF rootPadding=12 layerBound=3"
sequence-bout-en-bout,elk,1,,0.423,5.07,5.53,6.33,3.77,0.688,0.367,0.593,10,"rapport 0.593 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=COFFMAN_GRAHAM layerGap=120 nodeGap=24 placement=LINEAR_SEGMENTS rootPadding=12 layerBound=3"
sequence-bout-en-bout,elk,1,,0.423,5.07,5.53,6.33,3.77,0.669,0.357,0.610,6,"rapport 0.610 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=COFFMAN_GRAHAM layerGap=120 nodeGap=48 placement=NETWORK_SIMPLEX rootPadding=12 layerBound=3"
sequence-bout-en-bout,elk,1,,0.423,5.07,5.53,6.33,3.77,0.669,0.357,0.610,6,"rapport 0.610 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=COFFMAN_GRAHAM layerGap=120 nodeGap=48 placement=BRANDES_KOEPF rootPadding=12 layerBound=3"
sequence-bout-en-bout,elk,1,,0.423,5.07,5.53,6.33,3.77,0.669,0.357,0.610,10,"rapport 0.610 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=COFFMAN_GRAHAM layerGap=120 nodeGap=48 placement=LINEAR_SEGMENTS rootPadding=12 layerBound=3"
sequence-bout-en-bout,elk,1,,0.395,4.74,5.17,5.92,3.52,0.643,0.344,0.555,6,"rapport 0.555 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=COFFMAN_GRAHAM layerGap=220 nodeGap=24 placement=NETWORK_SIMPLEX rootPadding=12 layerBound=3"
sequence-bout-en-bout,elk,1,,0.395,4.74,5.17,5.92,3.52,0.643,0.344,0.555,6,"rapport 0.555 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=COFFMAN_GRAHAM layerGap=220 nodeGap=24 placement=BRANDES_KOEPF rootPadding=12 layerBound=3"
sequence-bout-en-bout,elk,1,,0.395,4.74,5.17,5.92,3.52,0.643,0.344,0.555,10,"rapport 0.555 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=COFFMAN_GRAHAM layerGap=220 nodeGap=24 placement=LINEAR_SEGMENTS rootPadding=12 layerBound=3"
sequence-bout-en-bout,elk,1,,0.395,4.74,5.17,5.92,3.52,0.626,0.334,0.570,6,"rapport 0.570 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=COFFMAN_GRAHAM layerGap=220 nodeGap=48 placement=NETWORK_SIMPLEX rootPadding=12 layerBound=3"
sequence-bout-en-bout,elk,1,,0.395,4.74,5.17,5.92,3.52,0.626,0.334,0.570,6,"rapport 0.570 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=COFFMAN_GRAHAM layerGap=220 nodeGap=48 placement=BRANDES_KOEPF rootPadding=12 layerBound=3"
sequence-bout-en-bout,elk,1,,0.395,4.74,5.17,5.92,3.52,0.626,0.334,0.570,10,"rapport 0.570 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=COFFMAN_GRAHAM layerGap=220 nodeGap=48 placement=LINEAR_SEGMENTS rootPadding=12 layerBound=3"
sequence-bout-en-bout,elk,1,,0.436,5.23,5.71,6.53,3.89,0.710,0.379,0.612,8,"rapport 0.612 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=MIN_WIDTH layerGap=30 nodeGap=24 placement=NETWORK_SIMPLEX rootPadding=12"
sequence-bout-en-bout,elk,1,,0.439,5.27,5.75,6.58,3.91,0.715,0.382,0.617,6,"rapport 0.617 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=MIN_WIDTH layerGap=30 nodeGap=24 placement=BRANDES_KOEPF rootPadding=12"
sequence-bout-en-bout,elk,1,,0.432,5.18,5.65,6.47,3.85,0.702,0.375,0.606,12,"rapport 0.606 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=MIN_WIDTH layerGap=30 nodeGap=24 placement=LINEAR_SEGMENTS rootPadding=12"
sequence-bout-en-bout,elk,1,,0.436,5.23,5.71,6.53,3.89,0.691,0.369,0.630,8,"rapport 0.630 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=MIN_WIDTH layerGap=30 nodeGap=48 placement=NETWORK_SIMPLEX rootPadding=12"
sequence-bout-en-bout,elk,1,,0.439,5.27,5.75,6.58,3.91,0.696,0.371,0.634,6,"rapport 0.634 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=MIN_WIDTH layerGap=30 nodeGap=48 placement=BRANDES_KOEPF rootPadding=12"
sequence-bout-en-bout,elk,1,,0.432,5.18,5.65,6.47,3.85,0.683,0.365,0.623,12,"rapport 0.623 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=MIN_WIDTH layerGap=30 nodeGap=48 placement=LINEAR_SEGMENTS rootPadding=12"
sequence-bout-en-bout,elk,1,,0.432,5.18,5.65,6.47,3.85,0.702,0.375,0.606,8,"rapport 0.606 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=MIN_WIDTH layerGap=60 nodeGap=24 placement=NETWORK_SIMPLEX rootPadding=12"
sequence-bout-en-bout,elk,1,,0.430,5.16,5.63,6.44,3.83,0.700,0.374,0.604,6,"rapport 0.604 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=MIN_WIDTH layerGap=60 nodeGap=24 placement=BRANDES_KOEPF rootPadding=12"
sequence-bout-en-bout,elk,1,,0.432,5.18,5.65,6.47,3.85,0.702,0.375,0.606,12,"rapport 0.606 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=MIN_WIDTH layerGap=60 nodeGap=24 placement=LINEAR_SEGMENTS rootPadding=12"
sequence-bout-en-bout,elk,1,,0.432,5.18,5.65,6.47,3.85,0.683,0.365,0.623,8,"rapport 0.623 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=MIN_WIDTH layerGap=60 nodeGap=48 placement=NETWORK_SIMPLEX rootPadding=12"
sequence-bout-en-bout,elk,1,,0.430,5.16,5.63,6.44,3.83,0.681,0.364,0.621,6,"rapport 0.621 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=MIN_WIDTH layerGap=60 nodeGap=48 placement=BRANDES_KOEPF rootPadding=12"
sequence-bout-en-bout,elk,1,,0.432,5.18,5.65,6.47,3.85,0.683,0.365,0.623,12,"rapport 0.623 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=MIN_WIDTH layerGap=60 nodeGap=48 placement=LINEAR_SEGMENTS rootPadding=12"
sequence-bout-en-bout,elk,1,,0.406,4.87,5.31,6.08,3.62,0.660,0.353,0.569,8,"rapport 0.569 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=MIN_WIDTH layerGap=120 nodeGap=24 placement=NETWORK_SIMPLEX rootPadding=12"
sequence-bout-en-bout,elk,1,,0.406,4.87,5.31,6.08,3.62,0.660,0.353,0.569,6,"rapport 0.569 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=MIN_WIDTH layerGap=120 nodeGap=24 placement=BRANDES_KOEPF rootPadding=12"
sequence-bout-en-bout,elk,1,,0.406,4.87,5.31,6.08,3.62,0.660,0.353,0.569,12,"rapport 0.569 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=MIN_WIDTH layerGap=120 nodeGap=24 placement=LINEAR_SEGMENTS rootPadding=12"
sequence-bout-en-bout,elk,1,,0.406,4.87,5.31,6.08,3.62,0.642,0.343,0.586,8,"rapport 0.586 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=MIN_WIDTH layerGap=120 nodeGap=48 placement=NETWORK_SIMPLEX rootPadding=12"
sequence-bout-en-bout,elk,1,,0.406,4.87,5.31,6.08,3.62,0.642,0.343,0.586,6,"rapport 0.586 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=MIN_WIDTH layerGap=120 nodeGap=48 placement=BRANDES_KOEPF rootPadding=12"
sequence-bout-en-bout,elk,1,,0.406,4.87,5.31,6.08,3.62,0.642,0.343,0.586,12,"rapport 0.586 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=MIN_WIDTH layerGap=120 nodeGap=48 placement=LINEAR_SEGMENTS rootPadding=12"
sequence-bout-en-bout,elk,1,,0.369,4.43,4.83,5.53,3.29,0.601,0.321,0.518,8,"rapport 0.518 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=MIN_WIDTH layerGap=220 nodeGap=24 placement=NETWORK_SIMPLEX rootPadding=12"
sequence-bout-en-bout,elk,1,,0.369,4.43,4.83,5.53,3.29,0.601,0.321,0.518,6,"rapport 0.518 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=MIN_WIDTH layerGap=220 nodeGap=24 placement=BRANDES_KOEPF rootPadding=12"
sequence-bout-en-bout,elk,1,,0.369,4.43,4.83,5.53,3.29,0.601,0.321,0.518,12,"rapport 0.518 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=MIN_WIDTH layerGap=220 nodeGap=24 placement=LINEAR_SEGMENTS rootPadding=12"
sequence-bout-en-bout,elk,1,,0.369,4.43,4.83,5.53,3.29,0.584,0.312,0.532,8,"rapport 0.532 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=MIN_WIDTH layerGap=220 nodeGap=48 placement=NETWORK_SIMPLEX rootPadding=12"
sequence-bout-en-bout,elk,1,,0.369,4.43,4.83,5.53,3.29,0.584,0.312,0.532,6,"rapport 0.532 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=MIN_WIDTH layerGap=220 nodeGap=48 placement=BRANDES_KOEPF rootPadding=12"
sequence-bout-en-bout,elk,1,,0.369,4.43,4.83,5.53,3.29,0.584,0.312,0.532,12,"rapport 0.532 hors de [4:3 ; 16:9]","mode=include direction=DOWN layering=MIN_WIDTH layerGap=220 nodeGap=48 placement=LINEAR_SEGMENTS rootPadding=12"
sequence-bout-en-bout,elk,1,,0.306,4.15,4.52,5.55,2.45,0.675,0.257,6.243,6,"rapport 6.243 hors de [4:3 ; 16:9]","mode=include direction=RIGHT layering=NETWORK_SIMPLEX layerGap=30 nodeGap=24 placement=NETWORK_SIMPLEX rootPadding=12"
sequence-bout-en-bout,elk,1,,0.306,4.14,4.52,5.54,2.45,0.674,0.257,6.253,6,"rapport 6.253 hors de [4:3 ; 16:9]","mode=include direction=RIGHT layering=NETWORK_SIMPLEX layerGap=30 nodeGap=24 placement=BRANDES_KOEPF rootPadding=12"
sequence-bout-en-bout,elk,1,,0.305,4.13,4.50,5.52,2.44,0.672,0.256,6.272,10,"rapport 6.272 hors de [4:3 ; 16:9]","mode=include direction=RIGHT layering=NETWORK_SIMPLEX layerGap=30 nodeGap=24 placement=LINEAR_SEGMENTS rootPadding=12"
sequence-bout-en-bout,elk,1,,0.306,4.15,4.52,5.55,2.45,0.646,0.247,5.972,6,"rapport 5.972 hors de [4:3 ; 16:9]","mode=include direction=RIGHT layering=NETWORK_SIMPLEX layerGap=30 nodeGap=48 placement=NETWORK_SIMPLEX rootPadding=12"
sequence-bout-en-bout,elk,1,,0.306,4.14,4.52,5.54,2.45,0.645,0.246,5.981,6,"rapport 5.981 hors de [4:3 ; 16:9]","mode=include direction=RIGHT layering=NETWORK_SIMPLEX layerGap=30 nodeGap=48 placement=BRANDES_KOEPF rootPadding=12"
sequence-bout-en-bout,elk,1,,0.305,4.13,4.50,5.52,2.44,0.643,0.245,5.999,10,"rapport 5.999 hors de [4:3 ; 16:9]","mode=include direction=RIGHT layering=NETWORK_SIMPLEX layerGap=30 nodeGap=48 placement=LINEAR_SEGMENTS rootPadding=12"
sequence-bout-en-bout,elk,1,,0.305,4.13,4.50,5.52,2.44,0.672,0.256,6.272,6,"rapport 6.272 hors de [4:3 ; 16:9]","mode=include direction=RIGHT layering=NETWORK_SIMPLEX layerGap=60 nodeGap=24 placement=NETWORK_SIMPLEX rootPadding=12"
sequence-bout-en-bout,elk,1,,0.304,4.12,4.50,5.51,2.44,0.671,0.256,6.281,6,"rapport 6.281 hors de [4:3 ; 16:9]","mode=include direction=RIGHT layering=NETWORK_SIMPLEX layerGap=60 nodeGap=24 placement=BRANDES_KOEPF rootPadding=12"
sequence-bout-en-bout,elk,1,,0.305,4.13,4.50,5.52,2.44,0.672,0.256,6.272,10,"rapport 6.272 hors de [4:3 ; 16:9]","mode=include direction=RIGHT layering=NETWORK_SIMPLEX layerGap=60 nodeGap=24 placement=LINEAR_SEGMENTS rootPadding=12"
sequence-bout-en-bout,elk,1,,0.305,4.13,4.50,5.52,2.44,0.643,0.245,5.999,6,"rapport 5.999 hors de [4:3 ; 16:9]","mode=include direction=RIGHT layering=NETWORK_SIMPLEX layerGap=60 nodeGap=48 placement=NETWORK_SIMPLEX rootPadding=12"
sequence-bout-en-bout,elk,1,,0.304,4.12,4.50,5.51,2.44,0.642,0.245,6.008,6,"rapport 6.008 hors de [4:3 ; 16:9]","mode=include direction=RIGHT layering=NETWORK_SIMPLEX layerGap=60 nodeGap=48 placement=BRANDES_KOEPF rootPadding=12"
sequence-bout-en-bout,elk,1,,0.305,4.13,4.50,5.52,2.44,0.643,0.245,5.999,10,"rapport 5.999 hors de [4:3 ; 16:9]","mode=include direction=RIGHT layering=NETWORK_SIMPLEX layerGap=60 nodeGap=48 placement=LINEAR_SEGMENTS rootPadding=12"
sequence-bout-en-bout,elk,1,,0.300,4.05,4.42,5.42,2.40,0.660,0.252,6.385,6,"rapport 6.385 hors de [4:3 ; 16:9]","mode=include direction=RIGHT layering=NETWORK_SIMPLEX layerGap=120 nodeGap=24 placement=NETWORK_SIMPLEX rootPadding=12"
sequence-bout-en-bout,elk,1,,0.300,4.05,4.42,5.42,2.40,0.660,0.252,6.385,6,"rapport 6.385 hors de [4:3 ; 16:9]","mode=include direction=RIGHT layering=NETWORK_SIMPLEX layerGap=120 nodeGap=24 placement=BRANDES_KOEPF rootPadding=12"
sequence-bout-en-bout,elk,1,,0.300,4.05,4.42,5.42,2.40,0.660,0.252,6.385,10,"rapport 6.385 hors de [4:3 ; 16:9]","mode=include direction=RIGHT layering=NETWORK_SIMPLEX layerGap=120 nodeGap=24 placement=LINEAR_SEGMENTS rootPadding=12"
sequence-bout-en-bout,elk,1,,0.300,4.05,4.42,5.42,2.40,0.632,0.241,6.108,6,"rapport 6.108 hors de [4:3 ; 16:9]","mode=include direction=RIGHT layering=NETWORK_SIMPLEX layerGap=120 nodeGap=48 placement=NETWORK_SIMPLEX rootPadding=12"
sequence-bout-en-bout,elk,1,,0.300,4.05,4.42,5.42,2.40,0.632,0.241,6.108,6,"rapport 6.108 hors de [4:3 ; 16:9]","mode=include direction=RIGHT layering=NETWORK_SIMPLEX layerGap=120 nodeGap=48 placement=BRANDES_KOEPF rootPadding=12"
sequence-bout-en-bout,elk,1,,0.300,4.05,4.42,5.42,2.40,0.632,0.241,6.108,10,"rapport 6.108 hors de [4:3 ; 16:9]","mode=include direction=RIGHT layering=NETWORK_SIMPLEX layerGap=120 nodeGap=48 placement=LINEAR_SEGMENTS rootPadding=12"
sequence-bout-en-bout,elk,1,,0.291,3.94,4.30,5.27,2.33,0.641,0.245,6.575,6,"rapport 6.575 hors de [4:3 ; 16:9]","mode=include direction=RIGHT layering=NETWORK_SIMPLEX layerGap=220 nodeGap=24 placement=NETWORK_SIMPLEX rootPadding=12"
sequence-bout-en-bout,elk,1,,0.291,3.94,4.30,5.27,2.33,0.641,0.245,6.575,6,"rapport 6.575 hors de [4:3 ; 16:9]","mode=include direction=RIGHT layering=NETWORK_SIMPLEX layerGap=220 nodeGap=24 placement=BRANDES_KOEPF rootPadding=12"
sequence-bout-en-bout,elk,1,,0.291,3.94,4.30,5.27,2.33,0.641,0.245,6.575,10,"rapport 6.575 hors de [4:3 ; 16:9]","mode=include direction=RIGHT layering=NETWORK_SIMPLEX layerGap=220 nodeGap=24 placement=LINEAR_SEGMENTS rootPadding=12"
sequence-bout-en-bout,elk,1,,0.291,3.94,4.30,5.27,2.33,0.613,0.234,6.289,6,"rapport 6.289 hors de [4:3 ; 16:9]","mode=include direction=RIGHT layering=NETWORK_SIMPLEX layerGap=220 nodeGap=48 placement=NETWORK_SIMPLEX rootPadding=12"
sequence-bout-en-bout,elk,1,,0.291,3.94,4.30,5.27,2.33,0.613,0.234,6.289,6,"rapport 6.289 hors de [4:3 ; 16:9]","mode=include direction=RIGHT layering=NETWORK_SIMPLEX layerGap=220 nodeGap=48 placement=BRANDES_KOEPF rootPadding=12"
sequence-bout-en-bout,elk,1,,0.291,3.94,4.30,5.27,2.33,0.613,0.234,6.289,10,"rapport 6.289 hors de [4:3 ; 16:9]","mode=include direction=RIGHT layering=NETWORK_SIMPLEX layerGap=220 nodeGap=48 placement=LINEAR_SEGMENTS rootPadding=12"
