slug	name	priorityRank	graph_version	v23	zones_geo	lots_geo	signaux	citations_pct	focus30
saint-denis-de-la-bouteillerie	Saint-Denis-De La Bouteillerie	809	2.3	1	0	nd	3	100	0
saint-philippe-de-neri	Saint-Philippe-de-Néri	810	2.3	1	0	nd	3	100	0
mont-carmel	Mont-Carmel	811	2.3	1	0	nd	7	29	0
hebertville-station	Hébertville-Station	812	2.3	1	0	3635	4	100	0
ferland-et-boilleau	Ferland-et-Boilleau	813	2.3	1	0	519	8	100	0
la-malbaie	La Malbaie	814	none	0	0	3026	nd	nd	0
saint-gedeon	Saint-Gédéon	815	2.3	1	0	nd	0	0	0
saint-bruno	Saint-Bruno	816	2.3	1	nd	nd	4	100	0
kamouraska	Kamouraska	817	2.3	1	nd	858	2	100	0
larouche	Larouche	818	2.3	1	0	1407	4	100	0
la-dore	La Doré	819	2.3	1	0	1301	8	100	0
saint-felicien	Saint-Félicien	820	2.3	1	nd	nd	4	100	0
saint-pascal	Saint-Pascal	821	2.3	1	0	nd	0	0	0
saint-bruno-de-kamouraska	Saint-Bruno-de-Kamouraska	822	2.3	1	nd	nd	3	100	0
saguenay	Saguenay	823	2.3	1	nd	nd	5	100	0
saint-germain-de-kamouraska	Saint-Germain-de-Kamouraska	824	2.3	1	0	nd	0	0	0
alma	Alma	825	2.3	1	0	11838	6	0	0
saint-charles-de-bourget	Saint-Charles-de-Bourget	826	2.3	1	0	nd	3	67	0
sainte-helene-de-kamouraska	Sainte-Hélène-de-Kamouraska	827	2.3	1	0	nd	2	0	0
saint-nazaire	Saint-Nazaire	828	2.3	1	nd	nd	0	0	0
saint-henri-de-taillon	Saint-Henri-de-Taillon	829	2.3	1	0	nd	6	100	0
normandin	Normandin	830	2.3	1	nd	nd	5	100	0
lanse-saint-jean	L'Anse-Saint-Jean	831	2.3	1	0	301	3	100	0
saint-ambroise	Saint-Ambroise	832	2.3	1	nd	nd	3	0	0
saint-joseph-de-kamouraska	Saint-Joseph-de-Kamouraska	833	2.3	1	nd	nd	5	100	0
saint-athanase	Saint-Athanase	834	2.3	1	0	nd	2	100	0
saint-andre-de-kamouraska	Saint-André-de-Kamouraska	835	2.3	1	0	nd	2	100	0
saint-felix-dotis	Saint-Félix-d'Otis	836	2.3	1	0	nd	0	0	0
peribonka	Péribonka	837	none	0	0	nd	nd	nd	0
riviere-eternite	Rivière-Éternité	838	none	0	0	nd	nd	nd	0
lascension-de-notre-seigneur	L'Ascension-de-Notre-Seigneur	839	2.3	1	0	1794	11	91	0
dolbeau-mistassini	Dolbeau-Mistassini	840	2.3	1	0	3793	8	100	0
sainte-monique-lac-saint-jean-est	Sainte-Monique	841	2.3	1	0	0	2	100	0
saint-honore	Saint-Honoré	842	2.3	1	0	nd	6	100	0
saint-augustin-maria-chapdelaine	Saint-Augustin	843	2.3	1	0	0	0	0	0
saint-simeon-charlevoix-est	Saint-Siméon	844	2.3	1	0	0	2	100	0
saint-thomas-didyme	Saint-Thomas-Didyme	845	2.3	1	0	nd	2	100	0
saint-alexandre-de-kamouraska	Saint-Alexandre-de-Kamouraska	846	2.3	1	0	nd	0	0	0
labrecque	Labrecque	847	2.3	1	0	1415	8	100	0
albanel	Albanel	848	2.3	1	0	1531	3	33	0
saint-edmond-les-plaines	Saint-Edmond-les-Plaines	849	2.3	1	0	nd	2	100	0
notre-dame-du-portage	Notre-Dame-du-Portage	850	2.3	1	0	nd	5	60	0
saint-fulgence	Saint-Fulgence	851	2.3	1	0	nd	0	0	0
sainte-rose-du-nord	Sainte-Rose-du-Nord	852	2.3	1	0	nd	2	100	0
begin	Bégin	853	2.3	1	0	659	5	100	0
sainte-jeanne-darc-maria-chapdelaine	Sainte-Jeanne-d'Arc	854	2.3	1	0	0	2	0	0
pohenegamook	Pohénégamook	855	none	0	0	nd	nd	nd	0
saint-eugene-dargentenay	Saint-Eugène-d'Argentenay	856	2.3	1	0	nd	3	100	0
saint-david-de-falardeau	Saint-David-de-Falardeau	857	2.3	1	0	nd	4	100	0
girardville	Girardville	858	2.3	1	0	886	3	100	0
petit-saguenay	Petit-Saguenay	859	2.3	1	0	nd	5	100	0
lamarche	Lamarche	860	2.3	1	0	868	5	80	0
saint-ludger-de-milot	Saint-Ludger-de-Milot	861	2.3	1	0	nd	3	100	0
saint-antonin	Saint-Antonin	862	2.3	1	0	nd	2	100	0
riviere-du-loup	Rivière-du-Loup	863	2.3	1	0	nd	7	0	0
baie-sainte-catherine	Baie-Sainte-Catherine	864	2.3	1	0	317	0	0	0
saint-stanislas-maria-chapdelaine	Saint-Stanislas	865	2.3	1	0	0	2	100	0
riviere-bleue	Rivière-Bleue	866	2.3	1	0	nd	4	100	0
notre-dame-de-lorette	Notre-Dame-de-Lorette	867	2.3	1	0	nd	4	100	0
saint-modeste	Saint-Modeste	868	2.3	1	0	nd	1	100	0
cacouna	Cacouna	869	none	0	0	1264	nd	nd	0
saint-honore-de-temiscouata	Saint-Honoré-de-Témiscouata	870	2.3	1	0	nd	1	100	0
saint-elzear-de-temiscouata	Saint-Elzéar-de-Témiscouata	871	2.3	1	0	nd	0	0	0
saint-arsene	Saint-Arsène	872	2.3	1	0	nd	3	100	0
sacre-coeur	Sacré-Coeur	873	2.3	1	0	nd	4	100	0
saint-marc-du-lac-long	Saint-Marc-du-Lac-Long	874	2.3	1	0	0	0	0	0
