slug	name	priorityRank	graph_version
saint-adolphe-dhoward	Saint-Adolphe-d'Howard	255	2.3
saint-gerard-majella	Saint-Gérard-Majella	256	2.3
sainte-beatrix	Sainte-Béatrix	257	2.3
acton-vale	Acton Vale	258	2.3
shefford	Shefford	259	2.3
saint-cuthbert	Saint-Cuthbert	260	2.3
saint-theodore-dacton	Saint-Théodore-d'Acton	261	2.3
saint-joachim-de-shefford	Saint-Joachim-de-Shefford	262	2.3
roxton-falls	Roxton Falls	263	2.3
grenville	Grenville	264	2.3
saint-edmond-de-grantham	Saint-Edmond-de-Grantham	265	2.3
saint-cleophas-de-brandon	Saint-Cléophas-de-Brandon	266	2.3
roxton	Roxton	267	2.3
lac-des-seize-iles	Lac-des-Seize-Îles	268	2.3
saint-jean-de-matha	Saint-Jean-de-Matha	269	2.3
saint-francois-du-lac	Saint-François-du-Lac	270	2.3
saint-barthelemy	Saint-Barthélemy	271	2.3
waterloo	Waterloo	272	2.2
warden	Warden	273	2.3
lac-brome	Lac-Brome	274	2.3
saint-germain-de-grantham	Saint-Germain-de-Grantham	275	2.3
saint-pie-de-guire	Saint-Pie-de-Guire	276	2.3
sainte-agathe-des-monts	Sainte-Agathe-des-Monts	277	2.3
brome	Brome	278	2.3
saint-bonaventure	Saint-Bonaventure	279	2.3
saint-come	Saint-Côme	280	2.3
sainte-lucie-des-laurentides	Sainte-Lucie-des-Laurentides	281	2.3
abercorn	Abercorn	282	2.3
dundee	Dundee	283	2.3
grenville-sur-la-rouge	Grenville-sur-la-Rouge	284	2.3
wickham	Wickham	285	2.3
saint-gabriel-de-brandon	Saint-Gabriel-de-Brandon	286	2.3
pierreville	Pierreville	287	2.3
montcalm	Montcalm	288	2.3
ivry-sur-le-lac	Ivry-sur-le-Lac	289	2.3
maskinonge	Maskinongé	290	2.3
bethanie	Béthanie	291	none
sutton	Sutton	292	2.3
saint-majorique-de-grantham	Saint-Majorique-de-Grantham	293	2.3
notre-dame-de-la-merci	Notre-Dame-de-la-Merci	294	2.3
sainte-christine	Sainte-Christine	295	2.3
lantier	Lantier	296	2.3
sainte-anne-de-la-rochelle	Sainte-Anne-de-la-Rochelle	297	2.3
saint-elphege	Saint-Elphège	298	2.3
saint-justin	Saint-Justin	299	2.3
saint-gabriel	Saint-Gabriel	300	2.3
stukely-sud	Stukely-Sud	301	2.3
lefebvre	Lefebvre	302	none
saint-damien	Saint-Damien	303	2.3
harrington	Harrington	304	2.3
bolton-ouest	Bolton-Ouest	305	2.3
sainte-emelie-de-lenergie	Sainte-Émélie-de-l'Énergie	306	2.3
barkmere	Barkmere	307	2.3
drummondville	Drummondville	308	2.3
mont-blanc	Mont-Blanc	309	2.3
valcourt-le-val-saint-francois	Valcourt	310	2.3
saint-didace	Saint-Didace	311	2.3
lawrenceville	Lawrenceville	312	2.3
saint-zephirin-de-courval	Saint-Zéphirin-de-Courval	313	2.3
sainte-ursule	Sainte-Ursule	314	2.3
arundel	Arundel	315	2.3
louiseville	Louiseville	316	2.3
saint-etienne-de-bolton	Saint-Étienne-de-Bolton	317	2.3
saint-edouard-de-maskinonge	Saint-Édouard-de-Maskinongé	318	2.3
baie-du-febvre	Baie-du-Febvre	319	2.3
valcourt-le-val-saint-francois-2	Valcourt	320	2.3
maricourt	Maricourt	321	2.3
durham-sud	Durham-Sud	322	2.3
bonsecours	Bonsecours	323	none
eastman	Eastman	324	2.3
fassett	Fassett	325	2.3
saint-cyrille-de-wendover	Saint-Cyrille-de-Wendover	326	2.3
la-visitation-de-yamaska	La Visitation-de-Yamaska	327	none
bolton-est	Bolton-Est	328	2.3
huberdeau	Huberdeau	329	2.3
val-des-lacs	Val-des-Lacs	330	2.3
lavenir	L'Avenir	331	2.3
sainte-brigitte-des-saults	Sainte-Brigitte-des-Saults	332	2.3
saint-leon-le-grand-maskinonge	Saint-Léon-le-Grand	333	2.3
notre-dame-de-bonsecours	Notre-Dame-de-Bonsecours	334	none
sainte-angele-de-premont	Sainte-Angèle-de-Prémont	335	2.3
saint-donat-matawinie	Saint-Donat	336	2.3
potton	Potton	337	2.3
ulverton	Ulverton	338	2.3
boileau	Boileau	339	2.3
racine	Racine	340	2.3
brebeuf	Brébeuf	341	2.3
notre-dame-du-bon-conseil-drummond-2	Notre-Dame-du-Bon-Conseil	342	2.3
yamachiche	Yamachiche	343	2.3
mandeville	Mandeville	344	2.3
austin	Austin	345	2.3
sainte-perpetue-nicolet-yamaska	Sainte-Perpétue	346	2.3
saint-severe	Saint-Sévère	347	2.3
orford	Orford	348	2.3
sainte-monique-nicolet-yamaska	Sainte-Monique	349	2.3
nicolet	Nicolet	350	2.3
mont-tremblant	Mont-Tremblant	351	2.3
saint-benoit-du-lac	Saint-Benoît-du-Lac	352	2.3
montebello	Montebello	353	2.3
saint-lucien	Saint-Lucien	354	2.3
melbourne	Melbourne	355	2.3
notre-dame-du-bon-conseil-drummond	Notre-Dame-du-Bon-Conseil	356	2.3
saint-paulin	Saint-Paulin	357	2.3
amherst	Amherst	358	2.3
kingsbury	Kingsbury	359	2.3
saint-felix-de-kingsey	Saint-Félix-de-Kingsey	360	2.3
saint-alexis-des-monts	Saint-Alexis-des-Monts	361	2.3
grand-saint-esprit	Grand-Saint-Esprit	362	2.3
richmond	Richmond	363	2.3
saint-barnabe	Saint-Barnabé	364	2.3
namur	Namur	365	none
magog	Magog	366	2.3
lac-superieur	Lac-Supérieur	367	2.3
papineauville	Papineauville	368	none
notre-dame-de-la-paix	Notre-Dame-de-la-Paix	369	2.3
saint-leonard-daston	Saint-Léonard-d'Aston	370	2.3
stanstead-memphremagog	Stanstead	371	2.3
saint-zenon	Saint-Zénon	372	2.3
charette	Charette	373	none
saint-denis-de-brompton	Saint-Denis-de-Brompton	374	2.3
saint-emile-de-suffolk	Saint-Émile-de-Suffolk	375	2.3
sainte-clotilde-de-horton	Sainte-Clotilde-de-Horton	376	2.3
cleveland	Cleveland	377	2.3
sainte-seraphine	Sainte-Séraphine	378	2.3
la-conception	La Conception	379	none
lac-tremblant-nord	Lac-Tremblant-Nord	380	2.3
saint-celestin-nicolet-yamaska	Saint-Célestin	381	2.3
saint-andre-avellin	Saint-André-Avellin	382	2.3
saint-francois-xavier-de-brompton	Saint-François-Xavier-de-Brompton	383	2.3
saint-celestin-nicolet-yamaska-2	Saint-Célestin	384	2.3
plaisance	Plaisance	385	2.3
ogden	Ogden	386	2.3
cheneville	Chénéville	387	2.3
